00079,10/03/2012,"1"" 20-24 STARRETT PITCH MIC",PITCH MICROMETER,365,10/01/2024,189,10/02/2023,
00080,06/09/2009,"7/16-20 UN-2B GO/NO GO, SOUTHERN",THREAD PLUG GAGE,365,06/01/2024,67,06/02/2023,
00082,09/26/2011,1/2-20 2B GO/NOGO THD. GAGE,THREAD PLUG GAGE,365,11/05/2024,224,11/06/2023,
00083,09/01/2012,4-40 UNC 2B GO / NO GO GAGE,THREAD PLUG GAGE,365,10/04/2024,192,10/05/2023,
00085,09/10/2012,5-44 UNF-2B GO / NO GO GAGE,THREAD PLUG GAGE,365,10/01/2024,189,10/02/2023,
00086,06/09/2009,9/16-18 UNF NOGO GAGE,THREAD PLUG GAGE,365,06/04/2024,70,06/05/2023,
00087,09/21/2012,M4 X .7 6H GO / NO GO GAGE,THREAD PLUG GAGE,365,06/04/2024,70,06/05/2023,
0009,06/09/2009,"2-3"" MITUTOYO MICROMETER","2-3"" OUTSIDE MICROME",365,06/01/2024,67,06/02/2023,
00091,06/10/2009,5/8-18 UNF-2B GO PLUG GAGE,THREAD PLUG GAGE,365,11/07/2024,226,11/08/2023,
00092,01/16/2014,"1-2"" CEN-TECH MICROMETER","1-2"" MICROMETER",365,08/03/2024,130,08/04/2023,
00093,09/26/2011,11/16-16 2B GO/NOGO THD. GAGE,THREAD PLUG GAGE,365,10/01/2024,189,10/02/2023,
00094,01/16/2014,2'-3' CEN-TECH MICROMETER,"2-3"" OUTSIDE MICROME",365,01/25/2025,305,01/26/2024,
00097,12/18/2012,.7812-24 UNS 3B GO/NO GO GAGE,THREAD PLUG GAGE,365,01/17/2025,297,01/18/2024,
00101,11/19/2010,M5 X 0.8-6H GO/NOGO GAGE,THREAD PLUG GAGE,365,08/02/2024,129,08/03/2023,
00102,11/08/2012,M9 X 1.0 6H GO / NO GO GAGE,THREAD PLUG GAGE,365,11/08/2024,227,11/09/2023,
00103,09/21/2012,M12 X 1.0 6H GO / NO GO GAGE,THREAD PLUG GAGE,365,10/02/2024,190,10/03/2023,
00106,10/22/2012,1/8-27 NPT PLUG GAGE,THREAD PLUG GAGE,1095,06/15/2024,81,06/16/2021,
00108,12/13/2014,M8 X 1.75 6H GO / NO GO PLUG GAGE,THREAD PLUG GAGE,365,01/16/2025,296,01/17/2024,
00109,08/29/2015,M13.5 X 1.0 6H L/H GO / NO GO GAGE (,THREAD PLUG GAGE,365,08/02/2024,129,08/03/2023,
00110,11/18/2015,".001-18"" MITUTOYO DIAL HEIGHT GAGE",DIAL HEIGHT GAGE,365,11/12/2024,231,11/13/2023,
001105,06/08/2023,8-64 uns-2b,THREAD PLUG GAGE,365,06/07/2024,73,06/08/2023,
00111,06/09/2009,"1-2"" MITUTOYO MICROMETER","1-2"" MICROMETER",365,06/01/2024,67,06/02/2023,
00112,12/04/2012,10-32 UNF 2B GO / NO GO GAGE,THREAD PLUG GAGE,365,01/16/2025,296,01/17/2024,
00114,11/07/2014,9/16-20 UN 2B GO / NO GO GAGE,THREAD PLUG GAGE,365,11/08/2024,227,11/09/2023,
